source_path,ean,ext,size,mtime,match_score,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Sugar Cookie 1.webp,8903289347755,.webp,30408,1762688226.5498114,0.5,D:\shopping-admin\public\new-images\8903289347755.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Black Plus 1.webp,8903289347809,.webp,24352,1762688226.180358,0.5,D:\shopping-admin\public\new-images\8903289347809.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Steel Grey 1.webp,8903289347854,.webp,28498,1762688226.4880223,0.5,D:\shopping-admin\public\new-images\8903289347854.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Navy Ribbon 1.webp,8903289347908,.webp,25640,1762688226.3134394,0.5,D:\shopping-admin\public\new-images\8903289347908.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Cherry Berry 1.webp,8903289347953,.webp,26958,1762688226.246351,0.5,D:\shopping-admin\public\new-images\8903289347953.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Pool Side 1.webp,8903289348004,.webp,35986,1762688226.4361527,0.5,D:\shopping-admin\public\new-images\8903289348004.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Flexi Kurti Pant 599\Pink Paradise 1.webp,8903289348103,.webp,30404,1762688226.3724911,0.5,D:\shopping-admin\public\new-images\8903289348103.webp
