source_path,ean,ext,size,mtime,match_score,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Red Chilli 5.webp,8903289094543,.webp,121944,1762688232.5831745,0.42857142857142855,D:\shopping-admin\public\new-images\8903289094543.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Beet Root 4.webp,8903289094666,.webp,27666,1762688237.8102098,0.42857142857142855,D:\shopping-admin\public\new-images\8903289094666.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Claypot 6.webp,8903289094789,.webp,36490,1762688238.1882753,0.3333333333333333,D:\shopping-admin\public\new-images\8903289094789.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Pagoda Blue 2.webp,8903289094901,.webp,61638,1762688240.56155,0.3333333333333333,D:\shopping-admin\public\new-images\8903289094901.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Sea Port 7.webp,8903289095045,.webp,130058,1762688237.214706,0.3333333333333333,D:\shopping-admin\public\new-images\8903289095045.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Dark Chocolate 5.webp,8903289095267,.webp,25178,1762688238.2747798,0.42857142857142855,D:\shopping-admin\public\new-images\8903289095267.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Tomato red 5.webp,8903289095380,.webp,210498,1762688241.4016423,0.3333333333333333,D:\shopping-admin\public\new-images\8903289095380.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Lapis Green 5.webp,8903289095502,.webp,178348,1762688240.2227583,0.3333333333333333,D:\shopping-admin\public\new-images\8903289095502.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Racing Red 5.webp,8903289095625,.webp,120386,1762688240.8479261,0.3333333333333333,D:\shopping-admin\public\new-images\8903289095625.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Shapers\Saree Shaper --- 899\Parrot Green 6.webp,8903289095748,.webp,214470,1762688247.6672583,0.3333333333333333,D:\shopping-admin\public\new-images\8903289095748.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Black Plus 3.webp,8903289095861,.webp,48552,1762688239.8124688,0.4,D:\shopping-admin\public\new-images\8903289095861.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Rasp Berry 5.webp,8903289095984,.webp,196924,1762688232.535441,0.42857142857142855,D:\shopping-admin\public\new-images\8903289095984.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Crimson Red 8.webp,8903289096103,.webp,75276,1762688236.6043952,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096103.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Fiery Orange 5.webp,8903289096226,.webp,179070,1762688240.1772075,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096226.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Laser Blue 5.webp,8903289096349,.webp,186130,1762688240.2717104,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096349.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Churidar Legging 599\Magic Garden 6.webp,8903289096462,.webp,81788,1762688240.3219578,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096462.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Navy Ribbon 4.webp,8903289096585,.webp,25380,1762688238.643937,0.42857142857142855,D:\shopping-admin\public\new-images\8903289096585.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Pink Shock 7.webp,8903289096707,.webp,112210,1762688237.030125,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096707.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose 78 High AnkleCropped Leggings\Sugar Cookie 7.jpg,8903289096820,.jpg,201976,1762688237.4170036,0.3333333333333333,D:\shopping-admin\public\new-images\8903289096820.jpg
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Leggings\Cotton Leggines\Bubble Gum 2.webp,8903289097285,.webp,38558,1762688224.0430312,0.4,D:\shopping-admin\public\new-images\8903289097285.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Cotton Churidar Legging -599\Sweet Corn.webp,8903289097483,.webp,26406,1762688235.4006999,0.5,D:\shopping-admin\public\new-images\8903289097483.webp
