source_path,ean,ext,size,mtime,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Plum Jam 6.webp,8903289094420,.webp,31496,1762688238.9773347,D:\shopping-admin\public\new-images\8903289094420.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Shapers\Saree Shaper --- 899\Pearly Vanilla.webp,8903289236882,.webp,143346,1762688247.7354102,D:\shopping-admin\public\new-images\8903289236882.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kurti Pant\Sleek Kurti Pant 649\Green Tree 7.webp,8903289290228,.webp,101754,1762688227.4597795,D:\shopping-admin\public\new-images\8903289290228.webp
