source_path,ean,ext,size,mtime,match_score,target_path
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Leggings\Cotton Capri Legging\Pearl White 2.webp,8903289005945,.webp,33846,1762688223.9071813,0.3,D:\shopping-admin\public\new-images\8903289005945.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Leggings\Cotton Capri Legging\Carbon Black 2.webp,8903289005990,.webp,34696,1762688223.5061545,0.3,D:\shopping-admin\public\new-images\8903289005990.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Leggings\Cotton Capri Legging\Navy Classic 2.webp,8903289006119,.webp,36986,1762688223.79036,0.3,D:\shopping-admin\public\new-images\8903289006119.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Cotton Capri Legging-499\La Burgandy.webp,8903289006300,.webp,27514,1762688233.1060753,0.3,D:\shopping-admin\public\new-images\8903289006300.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Grand Turquoise 5.jpg,8903289009936,.jpg,208634,1762688231.022099,0.4444444444444444,D:\shopping-admin\public\new-images\8903289009936.jpg
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Tropical Punch 5.jpg,8903289011359,.jpg,209475,1762688232.8273654,0.4444444444444444,D:\shopping-admin\public\new-images\8903289011359.jpg
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Mari Gold 5.webp,8903289011533,.webp,79420,1762688231.6112766,0.4444444444444444,D:\shopping-admin\public\new-images\8903289011533.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Orange Tango 5.webp,8903289011595,.webp,75874,1762688232.0356095,0.4444444444444444,D:\shopping-admin\public\new-images\8903289011595.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Fuchsia Violet 5.webp,8903289011656,.webp,152582,1762688230.9360418,0.4444444444444444,D:\shopping-admin\public\new-images\8903289011656.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\White Plus.webp,8903289029217,.webp,23338,1762688239.6377764,0.3,D:\shopping-admin\public\new-images\8903289029217.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Blue Spring 3.webp,8903289061057,.webp,275260,1762688229.8892734,0.3,D:\shopping-admin\public\new-images\8903289061057.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Alphonso Squash 2.webp,8903289061071,.webp,65028,1762688229.526217,0.4444444444444444,D:\shopping-admin\public\new-images\8903289061071.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Fired Up 5.webp,8903289061088,.webp,96896,1762688230.7663014,0.4444444444444444,D:\shopping-admin\public\new-images\8903289061088.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Coral Flame 5.webp,8903289061095,.webp,149456,1762688230.543967,0.4444444444444444,D:\shopping-admin\public\new-images\8903289061095.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Mystic Pink 5.webp,8903289089341,.webp,101306,1762688231.8249273,0.3,D:\shopping-admin\public\new-images\8903289089341.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Olive 5.webp,8903289089464,.webp,96156,1762688231.984607,0.375,D:\shopping-admin\public\new-images\8903289089464.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Green Grass 5.jpg,8903289090262,.jpg,216469,1762688231.1533344,0.3,D:\shopping-admin\public\new-images\8903289090262.jpg
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Fruity Orange 4.webp,8903289090385,.webp,51998,1762688230.8597052,0.4444444444444444,D:\shopping-admin\public\new-images\8903289090385.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Plum Jam.webp,8903289094420,.webp,24810,1762688238.9902298,0.3,D:\shopping-admin\public\new-images\8903289094420.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Pagoda Blue.webp,8903289094901,.webp,26266,1762688238.7565582,0.3,D:\shopping-admin\public\new-images\8903289094901.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Dark Chocolate.webp,8903289095267,.webp,23200,1762688238.3016415,0.3,D:\shopping-admin\public\new-images\8903289095267.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Bamboo\Ankle Legging 799\Black 6.webp,8903289095861,.webp,35688,1762688229.2357378,0.3,D:\shopping-admin\public\new-images\8903289095861.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Rasp Berry.webp,8903289095984,.webp,24664,1762688232.5452318,0.3,D:\shopping-admin\public\new-images\8903289095984.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Swimming Pool.webp,8903289111462,.webp,24032,1762688239.428561,0.3,D:\shopping-admin\public\new-images\8903289111462.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Legginds\Ankle Legging\Butter Scotch 3.webp,8903289117013,.webp,225600,1762688230.1025665,0.3,D:\shopping-admin\public\new-images\8903289117013.webp
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Leggings\Viscose\Viscose Ankle\Shadow Grey.webp,8903289118423,.webp,20292,1762688239.288819,0.3,D:\shopping-admin\public\new-images\8903289118423.webp
